,Name,Team,Position,xG per fixture,xG per game,Team games,Played,GW7*,GW7,GW6,GW5,GW4,GW3,GW2,GW1
228,Matheus Luiz Nunes,Man City,Midfielder,1.7648885647455848,2.6473328471183772,6,4,,3.2654977224110993,0.0,0.0,0.0,0.0,10.589331388473509,0.0
229,Sander Berge,Burnley,Midfielder,1.7634814977645874,1.7634814977645874,5,5,2.3386947286670963,0.991878572727271,8.817407488822937,0.0,0.0,0.0,,0.0
230,Chiedozie Ogbene,Luton,Forward,1.7569798231124878,1.7569798231124878,5,5,1.2043958072609418,1.5331104754002303,4.392710328102112,0.0,4.392188787460326,0.0,,0.0
231,Tom Davies,Sheffield Utd,Midfielder,1.6087962687015538,4.021990671753884,5,2,,7.943507686259398,8.043981343507768,0.0,0.0,0.0,0.0,
232,Thomas Partey,Arsenal,Midfielder,1.600453878442446,3.200907756884892,6,3,,4.854121243077124,0.0,0.0,0.0,0.0,9.602723270654677,0.0
233,Mahmoud Dahoud,Brighton,Midfielder,1.5465506662925084,1.8558607995510101,6,5,,1.261999724438182,4.9729250371456155,0.0,0.0,0.0,0.0,4.306378960609436
234,Ryan Giles,Luton,Defender,1.4726375043392181,1.8407968804240227,5,4,2.639321574095889,3.359669245610014,0.0,0.0,0.0,7.363187521696091,,0.0
235,Josko Gvardiol,Man City,Defender,1.4407921582460403,1.7289505898952484,6,5,,1.5306101813479962,0.0,8.644752949476242,0.0,0.0,0.0,0.0
236,Lewis Cook,Bournemouth,Midfielder,1.4366420606772106,2.1549630910158157,6,4,,2.0934584933956324,0.0,6.2157101929187775,0.0,2.404142171144485,0.0,0.0
237,Moises Caicedo Corozo,Chelsea,Midfielder,1.4078946473697822,2.111841971054673,6,4,,2.420992412584236,1.6207566484808922,0.0,4.470110312104224,0.0,2.3565009236335754,0.0
238,Danilo dos Santos de Oliveira,Nott'm Forest,Midfielder,1.3927585600564878,2.0891378400847316,6,4,,1.222117717654072,0.0,0.0,0.0,1.5222105197608469,6.834340840578079,0.0
239,Joe Worrall,Nott'm Forest,Defender,1.3582093020280201,1.6298511624336243,6,5,,0.8332042336176111,0.0,0.0,0.0,0.0,8.149255812168121,0.0
240,Jaidon Anthony,Bournemouth,Midfielder,1.2811914086341858,2.5623828172683716,6,3,,1.9776879779685974,0.0,0.0,0.0,7.687148451805115,0.0,0.0
241,Manuel Benson Hedilazio,Burnley,Midfielder,1.2552334368228912,2.092055728038152,5,3,2.774443457128786,1.1766867144468343,6.276167184114456,0.0,0.0,0.0,,0.0
242,Nathan Collins,Brentford,Defender,1.2504416517913342,1.2504416517913342,6,6,,1.1780380447275665,0.0,0.0,0.0,2.7892304584383965,4.7134194523096085,0.0
243,Oliver Norwood,Sheffield Utd,Midfielder,1.2260456879933674,1.2260456879933674,6,6,,1.689182107907305,0.0,0.95408633351326,3.4591544419527054,0.0,0.0,2.9430333524942403
244,Cheick Doucoure,Crystal Palace,Midfielder,1.2022979091852906,1.2022979091852906,6,6,,1.8588438166808048,0.0,0.0,0.0,0.0,5.9764519333839425,1.2373355217278004
245,Mikkel Damsgaard,Brentford,Midfielder,1.197510833541552,3.5925325006246562,6,2,,3.636691175353637,0.0,0.0,0.0,0.0,0.0,7.1850650012493125
246,Marcus Tavernier,Bournemouth,Midfielder,1.1707346886396408,2.3414693772792816,6,3,,2.4554474686814243,0.0,7.024408131837845,0.0,0.0,0.0,0.0
